Región,Ventas
NorteAmerica,0.65
Europa,0.14
Japon,0.21
Otros,0
NorteAmerica,0
Europa,0
Japon,0.17
Otros,0
NorteAmerica,0.11
Europa,0.09
Japon,0
Otros,0.03
NorteAmerica,0
Europa,0
Japon,0.16
Otros,0
NorteAmerica,0
Europa,0
Japon,0.17
Otros,0
NorteAmerica,0.49
Europa,0.38
Japon,0.26
Otros,0.13
NorteAmerica,0
Europa,0
Japon,0.14
Otros,0
NorteAmerica,0.23
Europa,0.18
Japon,0.2
Otros,0.06
NorteAmerica,0.14
Europa,0.11
Japon,0.17
Otros,0.04
NorteAmerica,0.09
Europa,0.07
Japon,0
Otros,0.02
NorteAmerica,0
Europa,0
Japon,0.03
Otros,0
NorteAmerica,0.48
NorteAmerica,0.36
NorteAmerica,0.07
Europa,0.25
Europa,0.28
Europa,0.02
Japon,0
Japon,0
Japon,0
Otros,0.07
Otros,0.11
Otros,0.01
NorteAmerica,0.84
NorteAmerica,0.65
Europa,0.35
Europa,0.41
Japon,0
Japon,0
Otros,0.12
Otros,0.19
NorteAmerica,0.3
Europa,0.2
Japon,0
Otros,0.03
NorteAmerica,0.82
NorteAmerica,0.43
NorteAmerica,0.3
NorteAmerica,0.17
NorteAmerica,0.11
NorteAmerica,0.01
Europa,0.52
Europa,0.52
Europa,0.29
Europa,0
Europa,0.01
Europa,0.01
Japon,0.01
Japon,0.02
Japon,0.01
Japon,0
Japon,0
Japon,0
Otros,0.14
Otros,0.2
Otros,0.07
Otros,0.26
Otros,0.01
Otros,0
NorteAmerica,1.13
NorteAmerica,0.51
Europa,0.38
Europa,0.35
Japon,0.02
Japon,0
Otros,0.03
Otros,0.06
NorteAmerica,1.72
Europa,1.33
Japon,0
Otros,0.16
NorteAmerica,0.08
Europa,0
Japon,0
Otros,0.01
NorteAmerica,0
Europa,0
Japon,0.01
Otros,0
NorteAmerica,0.06
Europa,0.01
Japon,0
Otros,0.01
NorteAmerica,0.35
Europa,0.12
Japon,0
Otros,0.04
NorteAmerica,0.13
Europa,0.52
Japon,0
Otros,0.02
NorteAmerica,0
Europa,0.03
Japon,0
Otros,0
NorteAmerica,0
Europa,0.02
Japon,0
Otros,0
NorteAmerica,0.12
Europa,0.17
Japon,0
Otros,0.04
NorteAmerica,0.05
Europa,0.13
Japon,0
Otros,0.02
NorteAmerica,0.19
Europa,0.01
Japon,0
Otros,0.02
NorteAmerica,0.08
Europa,0
Japon,0
Otros,0.01
NorteAmerica,0.02
Europa,0
Japon,0
Otros,0
NorteAmerica,1.25
Europa,0.61
